,,,upper bound,lower bound,,slow ema,fast ema,,,% return
1h,20000,15,0.996,1.004,7,93,2,304,304,208.742644919881
1h,20000,15,0.996,1.004,7,76,1,401,401,208.66174162775
1h,20000,15,0.996,1.004,7,99,6,198,198,208.649123919228
1h,20000,15,0.996,1.004,7,60,15,195,195,208.638977225895
1h,20000,15,0.996,1.004,7,93,1,359,359,208.461031211684
1h,20000,15,0.996,1.004,7,99,19,138,138,208.300620898321
1h,20000,15,0.996,1.004,7,98,18,140,140,208.250726145975
1h,20000,15,0.996,1.004,7,92,2,305,305,208.202572031267
1h,20000,15,0.996,1.004,7,50,14,222,222,208.186311874387
1h,20000,15,0.996,1.004,7,51,5,310,310,208.132422827864
1h,20000,15,0.996,1.004,7,82,6,222,222,208.032318190642
1h,20000,15,0.996,1.004,7,70,5,257,257,207.935223345664
1h,20000,15,0.996,1.004,7,61,14,197,197,207.89416215672
1h,20000,15,0.996,1.004,7,71,9,212,212,207.537845988627
1h,20000,15,0.996,1.004,7,76,5,249,249,207.401812286973
1h,20000,15,0.996,1.004,7,84,7,213,213,207.400156547736
1h,20000,15,0.996,1.004,7,97,20,134,134,207.39284274222
1h,20000,15,0.996,1.004,7,73,5,245,245,207.326035774381
1h,20000,15,0.996,1.004,7,83,5,236,236,207.277578547417
1h,20000,15,0.996,1.004,7,99,17,142,142,207.0535465683
1h,20000,15,0.996,1.004,7,76,6,235,235,206.954509548902
1h,20000,15,0.996,1.004,7,90,5,224,224,206.817716248218
1h,20000,15,0.996,1.004,7,57,7,259,259,206.770406044577
1h,20000,15,0.996,1.004,7,57,14,205,205,206.562619108007
1h,20000,15,0.996,1.004,7,69,5,258,258,206.338737793089
1h,20000,15,0.996,1.004,7,59,15,195,195,206.02846721354
1h,20000,15,0.996,1.004,7,74,6,234,234,206.009223450204
1h,20000,15,0.996,1.004,7,74,3,293,293,205.929242597869
1h,20000,15,0.996,1.004,7,83,4,244,244,205.916772386307
1h,20000,15,0.996,1.004,7,73,8,215,215,205.77486697833
1h,20000,15,0.996,1.004,7,71,6,238,238,205.689700661767
1h,20000,15,0.996,1.004,7,75,7,218,218,205.687823118329
1h,20000,15,0.996,1.004,7,52,15,215,215,205.508265543162
1h,20000,15,0.996,1.004,7,53,17,206,206,205.461236337735
1h,20000,15,0.996,1.004,7,55,17,204,204,205.403129764026
1h,20000,15,0.996,1.004,7,78,5,244,244,205.238450426567
1h,20000,15,0.996,1.004,7,98,17,143,143,205.218953379379
1h,20000,15,0.996,1.004,7,56,16,202,202,205.205600887355
1h,20000,15,0.996,1.004,7,77,5,247,247,205.086966349506
1h,20000,15,0.996,1.004,7,97,7,195,195,205.015926548339
1h,20000,15,0.996,1.004,7,62,11,216,216,204.977431026063
1h,20000,15,0.996,1.004,7,75,4,261,261,204.535764026997
1h,20000,15,0.996,1.004,7,76,4,264,264,204.517766167887
1h,20000,15,0.996,1.004,7,96,22,136,136,204.421937785704
1h,20000,15,0.996,1.004,7,52,6,278,278,204.318995563135
1h,20000,15,0.996,1.004,7,95,21,137,137,204.314303070284
1h,20000,15,0.996,1.004,7,70,6,241,241,204.197996171567
1h,20000,15,0.996,1.004,7,50,6,289,289,203.856406017644
1h,20000,15,0.996,1.004,7,99,7,189,189,203.614691768999
1h,20000,15,0.996,1.004,7,96,3,263,263,203.598948312807
1h,20000,15,0.996,1.004,7,91,2,306,306,203.524404926483
1h,20000,15,0.996,1.004,7,88,6,212,212,203.178877589694
1h,20000,15,0.996,1.004,7,51,1,490,490,203.145260266786
1h,20000,15,0.996,1.004,7,83,6,223,223,202.898994557841
1h,20000,15,0.996,1.004,7,73,3,292,292,202.89803276161
1h,20000,15,0.996,1.004,7,62,9,225,225,202.762209343935
1h,20000,15,0.996,1.004,7,51,15,216,216,202.655556584507
1h,20000,15,0.996,1.004,7,71,3,301,301,202.438869479645
1h,20000,15,0.996,1.004,7,60,4,314,314,202.435429281238
1h,20000,15,0.996,1.004,7,91,22,140,140,202.423785731557
1h,20000,15,0.996,1.004,7,68,8,220,220,202.114434737235
1h,20000,15,0.996,1.004,7,58,8,236,236,202.060469196101
1h,20000,15,0.996,1.004,7,85,5,232,232,201.602024403796
1h,20000,15,0.996,1.004,7,95,3,264,264,201.374810211175
1h,20000,15,0.996,1.004,7,71,5,254,254,201.242783587842
1h,20000,15,0.996,1.004,7,64,11,206,206,201.189470268194
1h,20000,15,0.996,1.004,7,62,7,257,257,201.165342093981
1h,20000,15,0.996,1.004,7,92,22,143,143,200.890420779221
1h,20000,15,0.996,1.004,7,79,5,244,244,200.889186091758
1h,20000,15,0.996,1.004,7,95,20,137,137,200.789309229746
1h,20000,15,0.996,1.004,7,98,20,133,133,200.448177348797
1h,20000,15,0.996,1.004,7,90,7,199,199,200.381043542902
1h,20000,15,0.996,1.004,7,89,22,137,137,200.315295374656
1h,20000,15,0.996,1.004,7,97,19,136,136,200.309061842519
1h,20000,15,0.996,1.004,7,73,6,233,233,200.054084446922
1h,20000,15,0.996,1.004,7,61,15,194,194,200.042033860704
1h,20000,15,0.996,1.004,7,99,20,133,133,200.014844080993
1h,20000,15,0.996,1.004,7,51,14,217,217,199.968978831461
1h,20000,15,0.996,1.004,7,64,8,240,240,199.8894069814
1h,20000,15,0.996,1.004,7,50,1,492,492,199.611710917122
1h,20000,15,0.996,1.004,7,73,9,206,206,199.483272004897
1h,20000,15,0.996,1.004,7,72,6,237,237,199.229507074218
1h,20000,15,0.996,1.004,7,72,5,248,248,199.089024746841
1h,20000,15,0.996,1.004,7,99,3,268,268,198.982349814171
1h,20000,15,0.996,1.004,7,81,7,215,215,198.857374300035
1h,20000,15,0.996,1.004,7,50,4,332,332,198.753139350663
1h,20000,15,0.996,1.004,7,56,6,271,271,198.59397835016
1h,20000,15,0.996,1.004,7,57,15,203,203,198.584194193648
1h,20000,15,0.996,1.004,7,68,5,261,261,198.566934714199
1h,20000,15,0.996,1.004,7,89,7,203,203,198.363937791049
1h,20000,15,0.996,1.004,7,95,6,211,211,198.314664449347
1h,20000,15,0.996,1.004,7,86,7,215,215,198.240794142089
1h,20000,15,0.996,1.004,7,90,22,139,139,198.217226223319
1h,20000,15,0.996,1.004,7,62,12,206,206,198.135167222036
1h,20000,15,0.996,1.004,7,98,3,264,264,198.108935101515
1h,20000,15,0.996,1.004,7,87,5,233,233,198.080167915318
